user_id,Aliment,total_calories_pandas,total_lipids_pandas,total_carbs_pandas,total_protein_pandas,total_calories_duckdb,total_lipids_duckdb,total_carbs_duckdb,total_protein_duckdb,_merge
1,,,,,,,,,,right_only
2,,,,,,,,,,right_only
3,,,,,,,,,,right_only
4,,,,,,,,,,right_only
5,,,,,,,,,,right_only
6,,,,,,,,,,right_only
7,,,,,,,,,,right_only
8,,,,,,,,,,right_only
9,,,,,,,,,,right_only
10,,,,,,,,,,right_only
11,,,,,,,,,,right_only
12,,,,,,,,,,right_only
13,,,,,,,,,,right_only
14,,,,,,,,,,right_only
15,,,,,,,,,,right_only
16,,,,,,,,,,right_only
17,,,,,,,,,,right_only
18,,,,,,,,,,right_only
19,,,,,,,,,,right_only
