date,Aliment,total_calories,total_lipids,total_carbs,total_protein,avg_calories,avg_lipids,avg_carbs,avg_protein,_merge
2024-06-25,,,,,,,,,,right_only
2024-06-26,,,,,,,,,,right_only
2024-06-27,,,,,,,,,,right_only
2024-06-28,,,,,,,,,,right_only
2024-06-29,,,,,,,,,,right_only
2024-06-30,,,,,,,,,,right_only
2024-07-01,,,,,,,,,,right_only
2024-07-02,,,,,,,,,,right_only
2024-07-03,,,,,,,,,,right_only
2024-07-04,,,,,,,,,,right_only
2024-07-05,,,,,,,,,,right_only
2024-07-06,,,,,,,,,,right_only
2024-07-07,,,,,,,,,,right_only
2024-07-08,,,,,,,,,,right_only
2024-07-09,,,,,,,,,,right_only
2024-07-10,,,,,,,,,,right_only
2024-07-11,,,,,,,,,,right_only
2024-07-12,,,,,,,,,,right_only
2024-07-13,,,,,,,,,,right_only
2024-07-14,,,,,,,,,,right_only
2024-07-15,,,,,,,,,,right_only
2024-07-16,,,,,,,,,,right_only
2024-07-17,,,,,,,,,,right_only
2024-07-18,,,,,,,,,,right_only
2024-07-19,,,,,,,,,,right_only
2024-07-20,,,,,,,,,,right_only
2024-07-21,,,,,,,,,,right_only
2024-07-22,,,,,,,,,,right_only
2024-07-23,,,,,,,,,,right_only
2024-07-24,,,,,,,,,,right_only
2024-07-25,,,,,,,,,,right_only
2024-07-27,,,,,,,,,,right_only
2024-07-28,,,,,,,,,,right_only
2024-07-29,,,,,,,,,,right_only
2024-07-30,,,,,,,,,,right_only
2024-07-31,,,,,,,,,,right_only
2024-08-01,,,,,,,,,,right_only
2024-08-02,,,,,,,,,,right_only
2024-08-03,,,,,,,,,,right_only
2024-08-04,,,,,,,,,,right_only
2024-08-05,,,,,,,,,,right_only
2024-08-06,,,,,,,,,,right_only
2024-08-07,,,,,,,,,,right_only
2024-08-08,,,,,,,,,,right_only
2024-08-09,,,,,,,,,,right_only
2024-08-10,,,,,,,,,,right_only
2024-08-11,,,,,,,,,,right_only
2024-08-12,,,,,,,,,,right_only
2024-08-13,,,,,,,,,,right_only
2024-08-14,,,,,,,,,,right_only
2024-08-15,,,,,,,,,,right_only
2024-08-16,,,,,,,,,,right_only
2024-08-17,,,,,,,,,,right_only
2024-08-18,,,,,,,,,,right_only
2024-08-19,,,,,,,,,,right_only
2024-08-20,,,,,,,,,,right_only
2024-08-21,,,,,,,,,,right_only
2024-08-22,,,,,,,,,,right_only
2024-08-23,,,,,,,,,,right_only
2024-08-24,,,,,,,,,,right_only
2024-08-25,,,,,,,,,,right_only
